,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
47,rocky,8.0,1976,John G. Avildsen,1976,120 min,"Action & Adventure, Classic Movies, Dramas",Movie,Netflix
48,platoon,8.0,1986,Oliver Stone,1986,120 min,"Action & Adventure, Classic Movies, Dramas",Movie,Netflix
49,spotlight,8.0,2015,Tom McCarthy,2015,129 min,"Dramas, Independent Movies",Movie,Netflix
50,rush,8.0,2013,Ron Howard,2013,123 min,"Action & Adventure, Dramas, International Movies",Movie,Netflix
51,into the wild,8.0,2007,Sean Penn,2007,148 min,"Action & Adventure, Dramas, Independent Movies",Movie,Netflix
52,rebecca,8.0,1940,Alfred Hitchcock,2020,123 min,"Dramas, Romantic Movies, Thrillers",Movie,Netflix
53,hachi: a dog's tale,8.0,2009,Lasse Hallstr̦m,2009,93 min,"Children & Family Movies, Dramas",Movie,Netflix
54,cool hand luke,8.0,1967,Stuart Rosenberg,1967,127 min,"Classic Movies, Dramas",Movie,Netflix
55,persona,8.0,1966,Ingmar Bergman,2019,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Movie,Netflix
56,the help,8.0,2011,Tate Taylor,2011,147 min,Dramas,Movie,Netflix
